GMT Time,Latitude,Longitude,Duration,DOP,Satellites
1/23/2016 13:00,32.1213972,-93.4632896,39,2.2,6
1/23/2016 14:00,32.1214429,-93.4632845,8,2.8,5
1/23/2016 15:00,32.1216202,-93.4636727,15,30.4,4
1/23/2016 16:00,32.1214271,-93.4633069,39,1.8,5
1/23/2016 17:00,32.121278,-93.4634083,9,6.8,4
1/23/2016 18:00,32.1213438,-93.4632948,38,1.2,5
1/23/2016 19:00,32.1213828,-93.4632877,39,1.4,5
1/23/2016 20:00,32.1214018,-93.4633099,9,1.4,5
1/23/2016 21:00,32.1212353,-93.4632063,11,1.8,4
1/23/2016 22:00,32.1214353,-93.4632845,40,1.4,4
1/23/2016 23:00,32.1213986,-93.4633172,20,1.4,4
