GMT Time,Latitude,Longitude,Duration,DOP,Satellites
1/27/2016 13:00,31.3071351,-92.6894145,40,2.4,5
1/27/2016 14:00,31.3072397,-92.6890922,9,4.4,5
1/27/2016 15:00,31.3072644,-92.6885172,20,11.6,4
1/27/2016 16:00,31.3072642,-92.6892509,41,2.4,4
1/27/2016 17:00,31.3072504,-92.6889323,10,2.8,4
1/27/2016 18:00,31.3072308,-92.6892304,39,2.8,4
1/27/2016 19:00,31.3072029,-92.6893148,41,5.6,3
1/27/2016 20:00,31.3072013,-92.6892774,37,1,7
1/27/2016 21:00,31.3072232,-92.6892555,8,1,7
1/27/2016 22:00,31.3072407,-92.6892848,39,1.4,5
1/27/2016 23:00,31.3071424,-92.6893247,8,4,4
