GMT Time,Latitude,Longitude,Duration,DOP,Satellites
1/29/2016 1:00,31.3070015,-92.6893794,39,2,6
1/29/2016 2:00,31.3069507,-92.6893555,3,1.6,5
1/29/2016 3:00,31.3068804,-92.6892251,5,4.2,5
1/29/2016 4:00,31.3069345,-92.6893619,41,0.8,8
1/29/2016 5:00,31.3069234,-92.6893963,5,2,6
1/29/2016 6:00,31.30705,-92.6894468,4,4.8,6
1/29/2016 7:00,31.3068811,-92.689353,40,1.4,6
1/29/2016 8:00,31.3068738,-92.6892333,5,1.6,5
1/29/2016 9:00,31.3072,-92.6894391,8,2.2,4
1/29/2016 10:00,31.306985,-92.689334,40,1.4,6
1/29/2016 11:00,31.3071727,-92.6894419,8,3.2,4
1/29/2016 12:00,31.3069307,-92.6892717,37,2,5
