GMT Time,Latitude,Longitude,Duration,DOP,Satellites
1/26/2016 13:06,30.8156958,-93.3809828,4,1,7
1/26/2016 14:06,30.8159808,-93.3809398,6,1.4,6
1/26/2016 15:07,30.8158346,-93.3809154,70,2,3
1/26/2016 16:06,30.8156818,-93.3809841,43,3,5
1/26/2016 17:06,30.8158525,-93.3810111,7,1.4,5
1/26/2016 18:06,30.8159953,-93.3806847,18,3.4,4
1/26/2016 19:06,30.8158773,-93.3809068,50,7,4
1/26/2016 20:06,30.8158823,-93.3813813,36,6.8,5
1/26/2016 21:06,30.8159318,-93.3808399,8,2.6,5
1/26/2016 22:06,30.8159494,-93.3808577,39,1.2,5
1/26/2016 23:06,30.8149534,-93.3809613,48,28.2,3
