GMT Time,Latitude,Longitude,Duration,DOP,Satellites
1/28/2016 1:06,30.8133054,-93.3784622,43,4.6,5
1/28/2016 2:06,30.8130524,-93.3789641,16,1.6,6
1/28/2016 3:06,30.812953,-93.3789917,8,1.8,6
1/28/2016 4:06,30.8129977,-93.3789893,38,1,9
1/28/2016 5:06,30.8129962,-93.3789273,8,1,8
1/28/2016 6:06,30.8129981,-93.3788543,8,1,8
1/28/2016 7:06,30.81293,-93.3786818,43,2,4
1/28/2016 8:06,30.8129033,-93.3785149,22,1.6,4
1/28/2016 9:06,30.8129277,-93.3787119,37,0.8,9
1/28/2016 10:06,30.8134246,-93.3796508,40,1.4,7
1/28/2016 11:06,30.8133996,-93.3796558,9,4.6,5
1/28/2016 12:06,30.8135116,-93.3797515,9,3,4
