GMT Time,Latitude,Longitude,Duration,DOP,Satellites
1/20/2016 13:00,30.8467538,-93.3789402,10,3.4,5
1/20/2016 14:00,30.8466183,-93.3790042,42,6.4,4
1/20/2016 15:00,30.8466693,-93.3786732,36,1.2,7
1/20/2016 16:00,30.8467719,-93.3787089,15,1.2,6
1/20/2016 17:01,30.8472128,-93.3785923,70,12,3
1/20/2016 18:00,30.846654,-93.3786744,49,1,8
1/20/2016 19:00,30.8465029,-93.3787915,16,2.4,5
1/20/2016 20:00,30.8468794,-93.3781942,8,5,4
1/20/2016 21:00,30.8466921,-93.3787634,38,1.2,6
1/20/2016 22:00,30.8465613,-93.3786554,8,1.6,5
1/20/2016 23:00,30.8464512,-93.3788512,37,2,5
