GMT Time,Latitude,Longitude,Duration,DOP,Satellites
1/21/2016 1:00,30.843833,-93.3792001,40,3.2,4
1/21/2016 2:00,30.8436002,-93.3792414,9,2.4,4
1/21/2016 3:00,30.8438384,-93.3788293,9,2.8,4
1/21/2016 4:00,30.8439422,-93.379221,51,1,5
1/21/2016 5:00,30.8437851,-93.3792031,5,2,5
1/21/2016 6:00,30.8440218,-93.3792026,4,2,4
1/21/2016 7:00,30.8439499,-93.3787881,51,3.2,5
1/21/2016 8:00,30.844009,-93.3791504,16,7.4,4
1/21/2016 9:00,30.8440114,-93.3791854,36,1,7
1/21/2016 10:00,30.8440547,-93.3792425,49,1.2,5
1/22/2016 10:00,30.8466232,-93.3784976,8,2.2,4
1/23/2016 10:00,30.8479641,-93.3788078,9,7.4,4
