GMT Time,Latitude,Longitude,Duration,DOP,Satellites
1/27/2016 13:06,30.8176573,-93.3814219,9,2.8,4
1/27/2016 14:07,30.8174277,-93.3814391,70,3.4,4
1/27/2016 15:06,30.817249,-93.3813544,40,1.4,4
1/27/2016 16:06,30.8171603,-93.381396,20,2,4
1/27/2016 17:06,30.8172187,-93.3814709,20,2.8,4
1/27/2016 18:06,30.8173664,-93.381544,41,1.4,5
1/27/2016 19:06,30.8172843,-93.3814335,4,2.8,4
1/27/2016 20:06,30.8174146,-93.3812586,11,3.4,5
1/27/2016 21:06,30.8171868,-93.3814023,38,2,3
1/27/2016 22:06,30.8174057,-93.3814667,38,1.4,6
1/27/2016 23:06,30.8172758,-93.381336,8,1.8,5
