BandNmbr,GMT Time,Latitude,Longitude,Duration,DOP,Satellites
171368600,1/19/2016 5:57,30.8288863,-93.3803177,38,1,8
171368600,1/19/2016 7:00,30.8288885,-93.3803441,8,2.2,6
171368600,1/19/2016 8:00,30.8288878,-93.3803189,38,1.8,5
171368600,1/19/2016 9:00,30.8288775,-93.3803029,8,3,5
171368600,1/19/2016 10:00,30.8289355,-93.3802741,9,3,4
171368600,1/19/2016 11:00,30.8289045,-93.3803306,39,1.6,5
171368600,1/19/2016 12:00,30.8288921,-93.3803299,9,2.2,5
171368600,1/19/2016 13:00,30.8322378,-93.3806907,9,4.4,4
171368600,1/19/2016 14:00,30.8321893,-93.3806539,39,1.2,7
171368600,1/19/2016 15:00,30.832191,-93.380652,9,1.4,6
171368600,1/19/2016 16:00,30.83222,-93.38066,3,2.6,5
171368600,1/19/2016 17:00,30.8322017,-93.3806545,40,1,10
171368600,1/19/2016 18:00,30.832193,-93.3806324,4,1,8
171368600,1/19/2016 19:00,30.8322462,-93.380606,4,1.4,6
171368600,1/19/2016 20:00,30.832199,-93.3806416,40,0.8,10
171368600,1/19/2016 21:00,30.8321914,-93.3806342,4,0.8,8
171368600,1/19/2016 22:00,30.8321959,-93.3806422,10,1.2,6
171368600,1/19/2016 23:00,30.8322007,-93.3806324,41,1.2,6
171368600,1/20/2016 0:00,30.8322135,-93.380676,8,2,5
171368600,1/20/2016 1:00,30.8320427,-93.3807545,37,1,7
171368600,1/20/2016 2:00,30.8320487,-93.3807637,38,2,6
171368600,1/20/2016 3:00,30.8321198,-93.3804728,8,2.2,5
171368600,1/20/2016 4:00,30.8321319,-93.3804839,15,40.4,4
171368600,1/20/2016 5:00,30.8320978,-93.3804845,39,2.8,4
171368600,1/20/2016 6:00,30.8318939,-93.380768,9,2,4
171368600,1/20/2016 7:00,30.8317788,-93.380965,50,1.2,4
171368600,1/20/2016 8:00,30.8316876,-93.3809601,51,1.4,5
