Tag Type: PinPoint Beacon-75,,,,,
Tag ID: 44029,,,,,
Firmware Version: V8.06,,,,,
,,,,,
GMT Time,Latitude,Longitude,Duration,DOP,Satellites
1/10/2016 6:00,30.5020159,-91.7097665,41,3,3
1/10/2016 7:00,30.5021974,-91.7101134,36,3.6,5
1/10/2016 8:00,30.5021735,-91.7100293,22,2.8,4
1/10/2016 9:00,30.5020027,-91.7098024,45,1.6,4
1/10/2016 10:00,30.5017722,-91.7095889,12,2,4
1/10/2016 11:00,30.5021377,-91.7097548,41,2.2,5
1/10/2016 12:00,30.5023557,-91.7104812,39,6.4,4
1/10/2016 13:00,30.5019809,-91.7096844,8,3.6,4
1/10/2016 14:00,30.5019946,-91.7096801,8,3.6,4
1/10/2016 15:00,30.502038,-91.7098305,39,3.6,4
1/10/2016 16:00,30.5019754,-91.7098321,51,1.4,5
1/10/2016 17:00,30.5014777,-91.7091021,16,7.4,4
1/10/2016 18:00,30.5020558,-91.7096028,50,4.4,4
1/10/2016 19:00,30.5020882,-91.7099037,38,2,5
1/10/2016 20:00,30.5014716,-91.7094748,22,8.6,4
1/10/2016 21:00,30.5020914,-91.7098737,39,3.2,5
1/10/2016 22:00,30.5020823,-91.7096689,39,1.8,6
1/10/2016 23:00,30.5021042,-91.7099318,9,3.2,4
1/11/2016 0:00,30.5020881,-91.7102441,52,3.8,4
1/11/2016 1:00,30.5018998,-91.7097196,4,4.8,4
1/11/2016 2:00,30.5020622,-91.7097227,20,3.6,4
1/11/2016 3:00,30.5019461,-91.7097561,45,1.4,5
1/11/2016 4:00,30.5020422,-91.7097626,15,3.4,5
1/11/2016 5:00,30.5020524,-91.7097043,37,1.6,5
1/11/2016 6:00,30.5020384,-91.7098743,38,4.2,4
1/11/2016 7:00,30.5020928,-91.7098743,7,3.8,4
1/11/2016 8:00,30.5020568,-91.7099646,36,2.2,5
1/11/2016 9:00,30.5021317,-91.709904,50,21.4,3
1/11/2016 10:00,30.5020571,-91.7099945,37,2.6,5
1/11/2016 11:00,30.5020792,-91.7096168,10,2.2,5
1/11/2016 12:00,30.5019129,-91.7097028,44,4,4
1/11/2016 13:00,30.5018962,-91.7096464,10,4.2,4
1/11/2016 14:00,30.5020331,-91.7096712,38,2.2,4
1/11/2016 15:00,30.5020199,-91.7098695,49,2.4,4
1/11/2016 16:00,30.502141,-91.7099029,27,1.8,4
1/11/2016 17:00,30.5019849,-91.7096164,31,2.2,3
1/11/2016 18:00,30.5021371,-91.7098715,50,3.4,4
