BandNmbr,Date_utilized,SamplePos,Lattitude,Longitude,Basal_Area,Canopy,Litter,Herbac,Shrub,Tree,Bare_ground,Other,Density,Comments,Date_collected,image
171368602,1/10/2016,MCP,30.83081666700,-93.36881494570,2.000,31.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,,3/31/2016,20160331_59.jpg
171368602,1/10/2016,MCP,30.83091659400,-93.36889840280,2.000,24.000,100.000,0.000,0.000,0.000,0.000,0.000,6.000,,3/31/2016,20160331_72.jpg
171368602,1/10/2016,MCP,30.83091829290,-93.36879498080,2.000,27.000,100.000,0.000,0.000,0.000,0.000,0.000,39.000,,3/31/2016,20160331_73.jpg
171368602,1/10/2016,MCP,30.83093497320,-93.36870001240,2.000,29.000,100.000,0.000,0.000,0.000,0.000,0.000,39.000,,3/31/2016,20160331_74.jpg
171368602,1/10/2016,MCP,30.83102671440,-93.36859838900,3.000,33.000,100.000,0.000,0.000,0.000,0.000,0.000,25.000,,3/31/2016,20160331_83.jpg
171368602,1/10/2016,MCP,30.83100493740,-93.36868994000,1.000,17.000,100.000,0.000,0.000,0.000,0.000,0.000,7.000,,3/31/2016,20160331_84.jpg
171368602,1/10/2016,MCP,30.83102501550,-93.36880163580,1.000,13.000,100.000,0.000,0.000,0.000,0.000,0.000,38.000,,3/31/2016,20160331_85.jpg
171368602,1/10/2016,MCP,30.83100663630,-93.36889498540,0.000,37.000,100.000,0.000,0.000,0.000,0.000,0.000,40.000,,3/31/2016,20160331_86.jpg
171368602,1/10/2016,MCP,30.83100663630,-93.36899840740,1.000,11.000,100.000,0.000,0.000,0.000,0.000,0.000,32.000,,3/31/2016,20160331_87.jpg
171368602,1/10/2016,MCP,30.83110501870,-93.36903330110,4.000,26.000,100.000,0.000,0.000,0.000,0.000,0.000,40.000,,4/5/2016,Set Image
171368602,1/10/2016,MCP,30.83111660220,-93.36890667660,4.000,37.000,100.000,0.000,0.000,0.000,0.000,0.000,40.000,,4/5/2016,Set Image
