BandNmbr,Date_utilized,SamplePos,Lattitude,Longitude,Basal_Area,Canopy,Litter,Herbac,Shrub,Tree,Bare_ground,Other,Density,Comments,Date_collected,__IMAGE
171368602,1/21/2016,BUF,30.83072832340,-93.36933331490,3.000,32.000,100.000,0.000,0.000,0.000,0.000,0.000,10.000,,3/31/2016,20160331_37.jpg
171368602,1/21/2016,BUF,30.83072662450,-93.36922665540,3.000,34.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,,3/31/2016,20160331_38.jpg
171368602,1/21/2016,BUF,30.83081836590,-93.36900002620,2.000,34.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,,3/31/2016,20160331_61.jpg
171368602,1/21/2016,BUF,30.83082006490,-93.36910830460,3.000,32.000,100.000,0.000,0.000,0.000,0.000,0.000,7.000,,3/31/2016,20160331_62.jpg
171368602,1/21/2016,BUF,30.83081496810,-93.36921334540,2.000,34.000,100.000,0.000,0.000,0.000,0.000,0.000,39.000,,3/31/2016,20160331_63.jpg
171368602,1/21/2016,BUF,30.83091999180,-93.36953674160,4.000,36.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,,3/31/2016,20160331_66.jpg
171368602,1/21/2016,BUF,30.83090840840,-93.36911495960,0.000,37.000,100.000,0.000,0.000,0.000,0.000,0.000,8.000,,3/31/2016,20160331_70.jpg
171368602,1/21/2016,BUF,30.83091165170,-93.36903671850,3.000,37.000,100.000,0.000,0.000,0.000,0.000,0.000,18.000,,3/31/2016,20160331_71.jpg
171368602,1/21/2016,BUF,30.83091659400,-93.36889840280,2.000,24.000,100.000,0.000,0.000,0.000,0.000,0.000,6.000,,3/31/2016,20160331_72.jpg
171368602,1/21/2016,BUF,30.83102501550,-93.36880163580,1.000,13.000,100.000,0.000,0.000,0.000,0.000,0.000,38.000,,3/31/2016,20160331_85.jpg
171368602,1/21/2016,BUF,30.83100663630,-93.36889498540,0.000,37.000,100.000,0.000,0.000,0.000,0.000,0.000,40.000,,3/31/2016,20160331_86.jpg
171368602,1/21/2016,BUF,30.83100663630,-93.36899840740,1.000,11.000,100.000,0.000,0.000,0.000,0.000,0.000,32.000,,3/31/2016,20160331_87.jpg
171368602,1/21/2016,BUF,30.83101497650,-93.36934500610,3.000,31.000,100.000,0.000,0.000,0.000,0.000,0.000,18.000,,3/31/2016,20160331_90.jpg
171368602,1/21/2016,BUF,30.83100833530,-93.36943493830,4.000,30.000,100.000,0.000,0.000,0.000,0.000,0.000,13.000,,3/31/2016,20160331_91.jpg
171368602,1/21/2016,BUF,30.83101667540,-93.36953170540,4.000,35.000,100.000,0.000,0.000,0.000,0.000,0.000,4.000,,3/31/2016,20160331_92.jpg
171368602,1/21/2016,BUF,30.83070670060,-93.36956174270,2.000,27.000,45.000,10.000,0.000,0.000,45.000,0.000,0.000,,3/22/2016,20160322_4.jpg
171368602,1/21/2016,BUF,30.83061835690,-93.36945328450,3.000,26.000,100.000,0.000,0.000,0.000,0.000,0.000,7.000,,3/22/2016,20160322_37.jpg
171368602,1/21/2016,BUF,30.83059333650,-93.36934662490,1.000,14.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,,3/22/2016,20160322_38.jpg
171368602,1/21/2016,BUF,30.83109003740,-93.36933007740,8.000,34.000,100.000,0.000,0.000,0.000,0.000,0.000,10.000,,4/5/2016,Set Image
171368602,1/21/2016,BUF,30.83109173630,-93.36922161920,5.000,33.000,100.000,0.000,0.000,0.000,0.000,0.000,40.000,,4/5/2016,20160405.jpg
171368602,1/21/2016,BUF,30.83110996100,-93.36912665070,4.000,23.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,,4/5/2016,Set Image
171368602,1/21/2016,BUF,30.83110501870,-93.36903330110,4.000,26.000,100.000,0.000,0.000,0.000,0.000,0.000,40.000,,4/5/2016,Set Image
171368602,1/21/2016,BUF,30.83111660220,-93.36890667660,4.000,37.000,100.000,0.000,0.000,0.000,0.000,0.000,40.000,,4/5/2016,Set Image
171368602,1/21/2016,BUF,30.83118672070,-93.36901495490,4.000,27.000,100.000,0.000,0.000,0.000,0.000,0.000,40.000,,4/5/2016,20160405_2.jpg
171368602,1/21/2016,BUF,30.83118672070,-93.36912503200,2.000,21.000,100.000,0.000,0.000,0.000,0.000,0.000,40.000,,4/5/2016,Set Image
171368602,1/21/2016,BUF,30.83118332290,-93.36921838160,1.000,14.000,100.000,0.000,0.000,0.000,0.000,0.000,39.000,,4/5/2016,20160405_3.jpg
