BandNmbr,Date_utilized,SamplePos,Lattitude,Longitude,Basal_Area,Canopy,Litter,Herbac,Shrub,Tree,Bare_ground,Other,Density,Comments,Date_collected,__IMAGE
171368602,1/22/2016,MCP,30.83069002030,-93.37017328170,4.000,36.000,100.000,0.000,0.000,0.000,0.000,0.000,38.000,,3/22/2016,20160322_10.jpg
171368602,1/22/2016,MCP,30.83062005580,-93.37008496830,1.000,27.000,90.000,0.000,0.000,0.000,10.000,0.000,0.000,,3/22/2016,20160322_16.jpg
171368602,1/22/2016,MCP,30.83051673070,-93.37007327710,0.000,16.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,,3/22/2016,20160322_17.jpg
171368602,1/22/2016,MCP,30.83059673430,-93.36996158130,2.000,36.000,100.000,0.000,0.000,0.000,0.000,0.000,40.000,,3/22/2016,Set Image
171368602,1/22/2016,MCP,30.83060661890,-93.36988999530,1.000,10.000,90.000,0.000,0.000,0.000,10.000,0.000,36.000,,3/22/2016,20160322_33.jpg
171368602,1/22/2016,MCP,30.83023007620,-93.36988657790,1.000,26.000,5.000,10.000,0.000,0.000,85.000,0.000,0.000,,3/23/2016,20160323.jpg
171368602,1/22/2016,MCP,30.83015007220,-93.36985833910,7.000,28.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,,3/23/2016,20160323_2.jpg
171368602,1/22/2016,MCP,30.83032336250,-93.36998658250,1.000,37.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,,3/23/2016,20160323_14.jpg
171368602,1/22/2016,MCP,30.83043827140,-93.36998496370,4.000,32.000,100.000,0.000,0.000,0.000,0.000,0.000,29.000,,3/23/2016,20160323_15.jpg
171368602,1/22/2016,MCP,30.83052507080,-93.36998496370,4.000,28.000,100.000,0.000,0.000,0.000,0.000,0.000,40.000,,3/23/2016,20160323_16.jpg
171368602,1/22/2016,MCP,30.83052661530,-93.36986337540,4.000,30.000,100.000,0.000,0.000,0.000,0.000,0.000,14.000,,3/23/2016,20160323_17.jpg
171368602,1/22/2016,MCP,30.83052167300,-93.36977326330,4.000,26.000,100.000,0.000,0.000,0.000,0.000,0.000,5.000,,3/23/2016,20160323_18.jpg
171368602,1/22/2016,MCP,30.83042993130,-93.36955167030,4.000,31.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,,3/23/2016,20160323_30.jpg
171368602,1/22/2016,MCP,30.83041340540,-93.36976498950,2.000,19.000,75.000,0.000,0.000,0.000,25.000,0.000,22.000,,3/23/2016,20160323_31.jpg
171368602,1/22/2016,MCP,30.83042668790,-93.36967667610,2.000,22.000,20.000,0.000,0.000,0.000,80.000,0.000,0.000,,3/23/2016,20160323_32.jpg
171368602,1/22/2016,MCP,30.83042329010,-93.36985833910,3.000,28.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,,3/23/2016,20160323_33.jpg
171368602,1/22/2016,MCP,30.83032336250,-93.36986841160,4.000,32.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,,3/23/2016,20160323_34.jpg
171368602,1/22/2016,MCP,30.83032166360,-93.36977002570,0.000,0.000,0.000,60.000,0.000,0.000,40.000,0.000,0.000,,3/23/2016,Set Image
171368602,1/22/2016,MCP,30.83033170270,-93.36968494990,1.000,17.000,80.000,10.000,0.000,0.000,10.000,0.000,4.000,,3/23/2016,20160323_35.jpg
171368602,1/22/2016,MCP,30.83034668410,-93.36955832530,0.000,9.000,30.000,0.000,0.000,0.000,70.000,0.000,1.000,,3/23/2016,20160323_36.jpg
171368602,1/22/2016,MCP,30.83033000380,-93.36943673700,1.000,20.000,0.000,0.000,0.000,10.000,90.000,0.000,0.000,,3/23/2016,20160323_37.jpg
171368602,1/22/2016,MCP,30.83024999990,-93.36954663410,5.000,31.000,35.000,0.000,0.000,0.000,65.000,0.000,23.000,,3/23/2016,20160323_42.jpg
171368602,1/22/2016,MCP,30.83024165980,-93.36946335690,7.000,25.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,,3/23/2016,20160323_43.jpg
171368602,1/22/2016,MCP,30.83023826190,-93.36934824370,6.000,34.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,,3/23/2016,20160323_44.jpg
171368602,1/22/2016,MCP,30.83025664120,-93.36923492910,12.000,32.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,,3/23/2016,20160323_45.jpg
171368602,1/22/2016,MCP,30.83016165580,-93.36925993030,5.000,28.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,,3/23/2016,Set Image
171368602,1/22/2016,MCP,30.83014667440,-93.36935327990,5.000,26.000,20.000,0.000,0.000,0.000,80.000,0.000,0.000,,3/23/2016,Set Image
171368602,1/22/2016,MCP,30.83016829710,-93.36946173810,6.000,26.000,100.000,0.000,0.000,0.000,0.000,0.000,23.000,,3/23/2016,
171368602,1/22/2016,MCP,30.83016165580,-93.36953997910,6.000,27.000,75.000,0.000,25.000,0.000,0.000,0.000,1.000,,3/23/2016,Set Image
171368602,1/22/2016,MCP,30.83015331560,-93.36965491250,7.000,29.000,0.000,0.000,0.000,0.000,0.000,0.000,35.000,,3/23/2016,Set Image
171368602,1/22/2016,MCP,30.83023331960,-93.36967505730,1.000,23.000,100.000,0.000,0.000,0.000,0.000,0.000,9.000,,3/23/2016,Set Image
171368602,1/22/2016,MCP,30.83024660210,-93.36978837190,2.000,33.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,,3/23/2016,Set Image
171368602,1/22/2016,MCP,30.83015331560,-93.36977668070,5.000,30.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,,3/23/2016,Set Image
171368602,1/22/2016,MCP,30.83007331160,-93.36976840690,6.000,22.000,0.000,0.000,0.000,100.000,0.000,0.000,20.000,,3/23/2016,Set Image
171368602,1/22/2016,MCP,30.83006172800,-93.36965671110,4.000,28.000,100.000,0.000,0.000,0.000,0.000,0.000,5.000,,3/23/2016,Set Image
171368602,1/22/2016,MCP,30.83008165180,-93.36955508780,6.000,23.000,100.000,0.000,0.000,0.000,0.000,0.000,4.000,,3/23/2016,Set Image
