BandNmbr,Date_utilized,SamplePos,Lattitude,Longitude,Basal_Area,Canopy,Litter,Herbac,Shrub,Tree,Bare_ground,Other,Density,Comments,Date,__IMAGE
171368602,1/25/2016,BUF,30.83069496260,-93.36967505730,3.000,28.000,80.000,20.000,0.000,0.000,0.000,0.000,0.000,,3/22/2016,20160322_5.jpg
171368602,1/25/2016,BUF,30.83069171920,-93.36976175200,2.000,23.000,100.000,0.000,0.000,0.000,0.000,0.000,22.000,,3/22/2016,20160322_6.jpg
171368602,1/25/2016,BUF,30.83068832140,-93.36986175660,2.000,10.000,95.000,5.000,0.000,0.000,0.000,0.000,8.000,,3/22/2016,20160322_7.jpg
171368602,1/25/2016,BUF,30.83041494990,-93.37006662210,1.000,22.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,,3/22/2016,20160322_18.jpg
171368602,1/25/2016,BUF,30.83032166360,-93.37007165830,2.000,37.000,100.000,0.000,0.000,0.000,0.000,0.000,19.000,,3/22/2016,20160322_19.jpg
171368602,1/25/2016,BUF,30.83025494230,-93.37008838570,4.000,33.000,100.000,0.000,0.000,0.000,0.000,0.000,40.000,,3/22/2016,20160322_21.jpg
171368602,1/25/2016,BUF,30.83015007220,-93.37006500330,4.000,26.000,100.000,0.000,0.000,0.000,0.000,0.000,16.000,,3/22/2016,20160322_22.jpg
171368602,1/25/2016,BUF,30.83015501460,-93.37018173530,0.000,0.000,95.000,0.000,0.000,0.000,5.000,0.000,0.000,,3/22/2016,Set Image
171368602,1/25/2016,BUF,30.83023162070,-93.37019504530,0.000,0.000,45.000,0.000,0.000,0.000,55.000,0.000,0.000,,3/22/2016,Set Image
171368602,1/25/2016,BUF,30.83031996470,-93.37019162790,0.000,0.000,5.000,0.000,0.000,0.000,95.000,0.000,0.000,,3/22/2016,Set Image
171368602,1/25/2016,BUF,30.83059673430,-93.36996158130,2.000,36.000,100.000,0.000,0.000,0.000,0.000,0.000,40.000,,3/22/2016,Set Image
171368602,1/25/2016,BUF,30.83060661890,-93.36988999530,1.000,10.000,90.000,0.000,0.000,0.000,10.000,0.000,36.000,,3/22/2016,20160322_33.jpg
171368602,1/25/2016,BUF,30.83060167660,-93.36978675310,2.000,37.000,100.000,0.000,0.000,0.000,0.000,0.000,33.000,,3/22/2016,20160322_34.jpg
171368602,1/25/2016,BUF,30.83059163760,-93.36967002110,2.000,20.000,100.000,0.000,0.000,0.000,0.000,0.000,22.000,,3/22/2016,20160322_35.jpg
171368602,1/25/2016,BUF,30.83060507450,-93.36956839770,0.000,5.000,50.000,0.000,0.000,0.000,50.000,0.000,0.000,,3/22/2016,20160322_36.jpg
171368602,1/25/2016,BUF,30.83023501850,-93.36995996250,0.000,6.000,0.000,10.000,0.000,0.000,90.000,0.000,0.000,,3/23/2016,Set Image
171368602,1/25/2016,BUF,30.83023007620,-93.36988657790,1.000,26.000,5.000,10.000,0.000,0.000,85.000,0.000,0.000,,3/23/2016,20160323.jpg
171368602,1/25/2016,BUF,30.83014497550,-93.36998838110,2.000,30.000,100.000,0.000,0.000,0.000,0.000,0.000,12.000,,3/23/2016,20160323_13.jpg
171368602,1/25/2016,BUF,30.83043827140,-93.36998496370,4.000,32.000,100.000,0.000,0.000,0.000,0.000,0.000,29.000,,3/23/2016,20160323_15.jpg
171368602,1/25/2016,BUF,30.83052507080,-93.36998496370,4.000,28.000,100.000,0.000,0.000,0.000,0.000,0.000,40.000,,3/23/2016,20160323_16.jpg
171368602,1/25/2016,BUF,30.83052661530,-93.36986337540,4.000,30.000,100.000,0.000,0.000,0.000,0.000,0.000,14.000,,3/23/2016,20160323_17.jpg
171368602,1/25/2016,BUF,30.83051673070,-93.36964825750,3.000,24.000,100.000,0.000,0.000,0.000,0.000,0.000,5.000,,3/23/2016,20160323_19.jpg
171368602,1/25/2016,BUF,30.83050669160,-93.36954825290,3.000,23.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,,3/23/2016,20160323_20.jpg
171368602,1/25/2016,BUF,30.83051673070,-93.36946497570,3.000,31.000,75.000,25.000,0.000,0.000,0.000,0.000,3.000,,3/23/2016,20160323_21.jpg
171368602,1/25/2016,BUF,30.83041664880,-93.36945328450,2.000,20.000,100.000,0.000,0.000,0.000,0.000,0.000,2.000,,3/23/2016,20160323_29.jpg
171368602,1/25/2016,BUF,30.83042993130,-93.36955167030,4.000,31.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,,3/23/2016,20160323_30.jpg
171368602,1/25/2016,BUF,30.83032336250,-93.36986841160,4.000,32.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,,3/23/2016,20160323_34.jpg
171368602,1/25/2016,BUF,30.83032166360,-93.36977002570,0.000,0.000,0.000,60.000,0.000,0.000,40.000,0.000,0.000,,3/23/2016,Set Image
171368602,1/25/2016,BUF,30.83033170270,-93.36968494990,1.000,17.000,80.000,10.000,0.000,0.000,10.000,0.000,4.000,,3/23/2016,20160323_35.jpg
171368602,1/25/2016,BUF,30.83034668410,-93.36955832530,0.000,9.000,30.000,0.000,0.000,0.000,70.000,0.000,1.000,,3/23/2016,20160323_36.jpg
171368602,1/25/2016,BUF,30.83023331960,-93.36967505730,1.000,23.000,100.000,0.000,0.000,0.000,0.000,0.000,9.000,,3/23/2016,Set Image
171368602,1/25/2016,BUF,30.83024660210,-93.36978837190,2.000,33.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,,3/23/2016,Set Image
