BandNmbr,GMT Time,Latitude,Longitude,Duration,DOP,Satellites
171368610,1/26/2016 0:02,30.8318261,-93.3861889,38,1,7
171368610,1/26/2016 1:06,30.8318185,-93.386235,9,1.6,7
171368610,1/26/2016 2:07,30.8306613,-93.3849304,68,1.8,4
171368610,1/26/2016 3:06,30.8318886,-93.3817997,35,1.2,5
171368610,1/26/2016 4:06,30.8320044,-93.3810927,32,2,3
171368610,1/26/2016 5:06,30.8319935,-93.3810976,40,1,9
171368610,1/26/2016 6:06,30.8319807,-93.3811105,3,0.8,9
171368610,1/26/2016 7:06,30.8319974,-93.3811829,4,2.2,5
171368610,1/26/2016 8:06,30.8319855,-93.3811081,41,1.2,6
171368610,1/26/2016 9:06,30.8319682,-93.3811246,4,1.6,6
171368610,1/26/2016 10:06,30.8319449,-93.3811246,7,4,5
171368610,1/26/2016 11:06,30.8319901,-93.3811087,37,1.2,6
171368610,1/26/2016 12:06,30.8320037,-93.381121,7,1.6,5
171368610,1/26/2016 13:06,30.8227431,-93.3812938,11,3.2,4
171368610,1/26/2016 14:06,30.8227268,-93.3813251,39,2,4
171368610,1/26/2016 15:06,30.8226985,-93.3812049,37,1.4,5
171368610,1/26/2016 16:06,30.8229097,-93.3812735,8,2.4,5
171368610,1/26/2016 17:06,30.8227012,-93.3813668,39,3.2,4
171368610,1/26/2016 18:06,30.822689,-93.3811925,11,3.6,4
171368610,1/26/2016 19:06,30.8238585,-93.3791901,31,32,3
171368610,1/26/2016 20:06,30.8228364,-93.3810663,44,2.8,4
171368610,1/26/2016 21:06,30.8232782,-93.3808055,30,9,4
171368610,1/26/2016 22:06,30.822357,-93.3807673,41,5,3
171368610,1/26/2016 23:06,30.8224475,-93.3810883,40,2.6,4
171368610,1/27/2016 0:06,30.8210744,-93.3845051,4,1.6,4
171368610,1/27/2016 1:06,30.8190033,-93.3882901,5,6.4,4
171368610,1/27/2016 2:06,30.8190104,-93.3883067,41,1,7
171368610,1/27/2016 3:06,30.81903,-93.3883282,4,0.8,7
171368610,1/27/2016 4:06,30.819049,-93.3883098,4,1.2,5
171368610,1/27/2016 5:06,30.81891,-93.3882962,41,4.6,4
171368610,1/27/2016 6:06,30.8191572,-93.3884908,15,10.4,4
171368610,1/27/2016 7:06,30.8189749,-93.3883595,38,1,7
171368610,1/27/2016 8:06,30.8189814,-93.3883551,39,1,8
171368610,1/27/2016 9:06,30.81902,-93.3883509,8,1.6,7
171368610,1/27/2016 10:06,30.8189298,-93.3883189,8,1.8,6
171368610,1/27/2016 11:06,30.8189183,-93.3883361,38,1.2,6
171368610,1/27/2016 12:06,30.8189318,-93.3883557,9,1.8,5
171368610,1/27/2016 13:06,30.8176573,-93.3814219,9,2.8,4
171368610,1/27/2016 14:07,30.8174277,-93.3814391,70,3.4,4
171368610,1/27/2016 15:06,30.817249,-93.3813544,40,1.4,4
171368610,1/27/2016 16:06,30.8171603,-93.381396,20,2,4
171368610,1/27/2016 17:06,30.8172187,-93.3814709,20,2.8,4
171368610,1/27/2016 18:06,30.8173664,-93.381544,41,1.4,5
171368610,1/27/2016 19:06,30.8172843,-93.3814335,4,2.8,4
171368610,1/27/2016 20:06,30.8174146,-93.3812586,11,3.4,5
171368610,1/27/2016 21:06,30.8171868,-93.3814023,38,2,3
171368610,1/27/2016 22:06,30.8174057,-93.3814667,38,1.4,6
171368610,1/27/2016 23:06,30.8172758,-93.381336,8,1.8,5
171368610,1/28/2016 0:07,0,0,70,0,0
171368610,1/28/2016 1:06,30.8316588,-93.3812934,50,1.4,5
171368610,1/28/2016 2:06,30.8316708,-93.381523,22,2.2,4
171368610,1/28/2016 3:06,30.8318412,-93.3813407,26,2.4,3
171368610,1/28/2016 4:06,30.8316953,-93.3813161,38,0.8,8
171368610,1/28/2016 5:06,30.8317002,-93.3813063,9,2.2,6
171368610,1/28/2016 6:06,30.8315894,-93.3812264,9,4.4,6
171368610,1/28/2016 7:06,30.83173,-93.3813511,44,1.6,4
171368610,1/28/2016 8:06,30.8316331,-93.3814279,26,3.2,3
171368610,1/28/2016 9:06,30.8317998,-93.3815217,39,1,6
171368610,1/28/2016 10:06,30.8318029,-93.3815211,39,1.4,7
171368610,1/28/2016 11:06,30.8317937,-93.3815199,4,1.8,5
171368610,1/28/2016 12:06,30.8317396,-93.3815168,4,2.4,4
171368610,1/28/2016 13:06,30.8174238,-93.3814753,41,1.2,7
171368610,1/28/2016 14:06,30.8173371,-93.3814857,4,1.6,6
171368610,1/28/2016 15:06,30.817436,-93.3814299,7,2.6,5
171368610,1/28/2016 16:06,30.8172922,-93.381536,42,2.2,5
171368610,1/28/2016 17:06,30.8174414,-93.3821211,21,2.4,5
171368610,1/28/2016 18:06,30.816824,-93.380549,36,3.4,4
171368610,1/28/2016 19:06,30.8173873,-93.3812746,45,3.2,5
171368610,1/28/2016 20:06,30.8172533,-93.3806509,10,3.4,4
171368610,1/28/2016 21:06,30.8173885,-93.3815207,12,2.6,4
171368610,1/28/2016 22:06,30.817116,-93.3813849,51,1.2,5
171368610,1/28/2016 23:06,30.8174459,-93.3816675,9,2,4
171368610,1/29/2016 0:06,30.8173764,-93.3814373,37,2.4,4
