"","BandNmbr","Latitude","Longitude","gmt","dt","date","mp","high","site","age","sex","precip"
"152",171368600,30.8288863,-93.3803177,2016-01-19 05:57:00,2016-01-18 23:57:00,"01/18/2016","68",59,"DERI","HY","M",0
"153",171368600,30.8288885,-93.3803441,2016-01-19 07:00:00,2016-01-19 01:00:00,"01/19/2016","78",65,"DERI","HY","M",0
"154",171368600,30.8288878,-93.3803189,2016-01-19 08:00:00,2016-01-19 02:00:00,"01/19/2016","78",65,"DERI","HY","M",0
"155",171368600,30.8288775,-93.3803029,2016-01-19 09:00:00,2016-01-19 03:00:00,"01/19/2016","78",65,"DERI","HY","M",0
"156",171368600,30.8289355,-93.3802741,2016-01-19 10:00:00,2016-01-19 04:00:00,"01/19/2016","78",65,"DERI","HY","M",0
"157",171368600,30.8289045,-93.3803306,2016-01-19 11:00:00,2016-01-19 05:00:00,"01/19/2016","78",65,"DERI","HY","M",0
"158",171368600,30.8288921,-93.3803299,2016-01-19 12:00:00,2016-01-19 06:00:00,"01/19/2016","78",65,"DERI","HY","M",0
"159",171368600,30.8322378,-93.3806907,2016-01-19 13:00:00,2016-01-19 07:00:00,"01/19/2016","78",65,"DERI","HY","M",0
"160",171368600,30.8321893,-93.3806539,2016-01-19 14:00:00,2016-01-19 08:00:00,"01/19/2016","78",65,"DERI","HY","M",0
"161",171368600,30.832191,-93.380652,2016-01-19 15:00:00,2016-01-19 09:00:00,"01/19/2016","78",65,"DERI","HY","M",0
"162",171368600,30.83222,-93.38066,2016-01-19 16:00:00,2016-01-19 10:00:00,"01/19/2016","78",65,"DERI","HY","M",0
"163",171368600,30.8322017,-93.3806545,2016-01-19 17:00:00,2016-01-19 11:00:00,"01/19/2016","78",65,"DERI","HY","M",0
"164",171368600,30.832193,-93.3806324,2016-01-19 18:00:00,2016-01-19 12:00:00,"01/19/2016","78",65,"DERI","HY","M",0
"165",171368600,30.8322462,-93.380606,2016-01-19 19:00:00,2016-01-19 13:00:00,"01/19/2016","78",65,"DERI","HY","M",0
"166",171368600,30.832199,-93.3806416,2016-01-19 20:00:00,2016-01-19 14:00:00,"01/19/2016","78",65,"DERI","HY","M",0
"167",171368600,30.8321914,-93.3806342,2016-01-19 21:00:00,2016-01-19 15:00:00,"01/19/2016","78",65,"DERI","HY","M",0
"168",171368600,30.8321959,-93.3806422,2016-01-19 22:00:00,2016-01-19 16:00:00,"01/19/2016","78",65,"DERI","HY","M",0
"169",171368600,30.8322007,-93.3806324,2016-01-19 23:00:00,2016-01-19 17:00:00,"01/19/2016","78",65,"DERI","HY","M",0
"170",171368600,30.8322135,-93.380676,2016-01-20 00:00:00,2016-01-19 18:00:00,"01/19/2016","78",65,"DERI","HY","M",0
"171",171368600,30.8320427,-93.3807545,2016-01-20 01:00:00,2016-01-19 19:00:00,"01/19/2016","78",65,"DERI","HY","M",0
"172",171368600,30.8320487,-93.3807637,2016-01-20 02:00:00,2016-01-19 20:00:00,"01/19/2016","78",65,"DERI","HY","M",0
"173",171368600,30.8321198,-93.3804728,2016-01-20 03:00:00,2016-01-19 21:00:00,"01/19/2016","78",65,"DERI","HY","M",0
"174",171368600,30.8321319,-93.3804839,2016-01-20 04:00:00,2016-01-19 22:00:00,"01/19/2016","78",65,"DERI","HY","M",0
"175",171368600,30.8320978,-93.3804845,2016-01-20 05:00:00,2016-01-19 23:00:00,"01/19/2016","78",65,"DERI","HY","M",0
"176",171368600,30.8318939,-93.380768,2016-01-20 06:00:00,2016-01-20 00:00:00,"01/20/2016","86",71,"DERI","HY","M",0
