Band.Number,Nov_2,Nov_3,Nov_4,Dec_1,Dec_2,Dec_3,Dec_4,Jan_1,Jan_2,Jan_3,Jan_4,Jan_5,Feb_1,Feb_2,Feb_3,site,season,year,sex,tag,age,cd,weight
157374414,0,0,0,0,10,11,0,0,0,0,0,0,0,0,0,BOYC,2,2016,M,GPS,AHY,12/8/2016,179
157374415,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,PALM,2,2016,F,VHF,AHY,12/12/2016,196
157374416,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,PALM,2,2016,F,VHF,HY,12/12/2016,202
157374417,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,PALM,2,2016,M,VHF,AHY,12/12/2016,148
157374418,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,PALM,2,2016,F,VHF,HY,12/12/2016,192
157382936,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,SHER,1,2015,M,VHF,AHY,11/5/2015,158
157382937,10,10,0,0,0,10,0,0,0,0,0,0,0,0,0,SHER,1,2015,F,VHF,HY,11/5/2015,NA
157382938,10,0,11,0,0,0,0,0,0,0,0,0,0,0,0,SHER,1,2015,F,VHF,AHY,11/5/2015,196
157382939,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,SHER,1,2015,M,VHF,HY,11/5/2015,148
157382955,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,YANC,1,2015,F,VHF,HY,12/1/2015,190
157382956,0,0,0,0,10,0,10,0,10,0,10,10,0,0,0,YANC,1,2015,M,VHF,HY,12/1/2015,156
157382958,0,0,0,0,10,10,0,0,10,0,0,0,0,0,0,YANC,1,2015,F,VHF,HY,12/1/2015,190
157382960,0,0,0,0,10,10,0,0,10,10,10,10,0,0,0,YANC,1,2015,M,VHF,AHY,12/1/2015,160
171338409,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,TENS,2,2016,M,GPS,AHY,12/30/2016,146
171338410,0,0,0,0,0,0,0,10,10,10,10,0,0,0,0,TENS,2,2016,M,GPS,AHY,12/30/2016,158
171338411,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,TENS,2,2016,M,GPS,AHY,12/30/2016,166
171338412,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,TENS,2,2016,M,GPS,AHY,12/30/2016,164
171338426,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,SHER,2,2017,F,GPS,AHY,1/25/2017,163
171338438,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,SHER,2,2017,M,VHF,AHY,1/28/2017,NA
171368502,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,SHER,1,2015,M,VHF,HY,11/13/2015,158
171368537,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,SHER,1,2015,M,VHF,HY,11/29/2015,140
171368541,0,0,0,0,10,0,0,10,0,0,10,10,10,0,0,YANC,1,2015,M,VHF,HY,12/1/2015,148
171368544,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,SHER,1,2015,F,VHF,AHY,12/8/2015,178
171368550,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,SHER,1,2015,F,GPS,HY,12/8/2015,192
171368556,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,TENS,1,2015,M,VHF,AHY,12/9/2015,140
171368557,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,TENS,1,2015,F,VHF,AHY,12/9/2015,178
171368559,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,TENS,1,2015,M,VHF,HY,12/9/2015,148
171368560,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,TENS,1,2015,F,VHF,HY,12/9/2015,180
171368561,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,TENS,1,2015,M,VHF,HY,12/9/2015,158
171368563,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,TENS,1,2015,M,VHF,HY,12/9/2015,158
171368588,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,TENS,1,2015,M,VHF,AHY,12/15/2015,160
171368590,0,0,0,0,0,0,10,0,0,10,10,0,0,0,0,TENS,1,2015,M,VHF,AHY,12/15/2015,144
171368591,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,DERI,1,2016,M,VHF,HY,1/4/2016,148
171368592,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,DERI,1,2016,M,VHF,AHY,1/4/2016,154
171368593,0,0,0,0,0,0,0,0,0,10,10,0,10,10,0,DERI,1,2016,M,VHF,HY,1/4/2016,146
171368594,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,DERI,1,2016,F,VHF,AHY,1/4/2016,184
171368595,0,0,0,0,0,0,0,0,0,10,10,10,10,0,0,DERI,1,2016,F,VHF,HY,1/4/2016,174
171368596,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,DERI,1,2016,M,VHF,HY,1/7/2016,182
171368597,0,0,0,0,0,0,0,0,0,10,0,10,10,0,0,DERI,1,2016,M,VHF,AHY,1/7/2016,180
171368599,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,TENS,1,2016,M,VHF,AHY,1/12/2016,152
171368600,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,DERI,1,2016,M,GPS,HY,1/18/2016,154
171368601,0,0,0,0,0,0,0,0,0,10,10,0,10,0,0,DERI,1,2016,M,GPS,AHY,1/7/2016,140
171368602,0,0,0,0,0,0,0,0,0,10,10,10,10,0,0,DERI,1,2016,F,GPS,AHY,1/7/2016,192
171368603,0,0,0,0,0,0,0,0,0,10,10,10,10,0,0,DERI,1,2016,M,GPS,AHY,1/7/2016,166
171368606,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,DERI,1,2016,M,GPS,AHY,1/7/2016,166
171368607,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,DERI,1,2016,M,VHF,AHY,1/7/2016,150
171368608,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,DERI,1,2016,M,GPS,AHY,1/18/2016,152
171368610,0,0,0,0,0,0,0,10,0,10,0,10,10,10,0,DERI,1,2016,M,GPS,HY,1/25/2016,152
171368611,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,DERI,1,2016,F,GPS,AHY,1/25/2016,214
171368612,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,DERI,1,2016,F,GPS,AHY,1/25/2016,198
171368613,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,DERI,1,2016,M,GPS,HY,1/25/2016,154
171368614,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,DERI,1,2016,F,GPS,AHY,1/25/2016,180
171368615,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,DERI,1,2016,M,VHF,AHY,1/27/2016,146
171368616,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,DERI,1,2016,M,GPS,AHY,1/27/2016,162
171368617,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,DERI,1,2016,M,VHF,AHY,1/27/2016,164
171368618,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,DERI,1,2016,M,VHF,HY,1/27/2016,162
171368622,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,SHER,2,2016,F,VHF,HY,11/30/2016,172
171368623,0,0,0,10,10,10,10,10,10,10,10,10,10,0,0,SHER,2,2016,M,VHF,HY,11/30/2016,136
171368624,0,0,0,10,0,11,0,0,0,0,0,0,0,0,0,SHER,2,2016,F,VHF,HY,11/30/2016,190
171368626,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,SHER,2,2016,F,GPS,HY,12/3/2016,184
171368627,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,SHER,2,2016,M,GPS,HY,12/3/2016,152
171368628,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,SHER,2,2016,M,VHF,AHY,12/3/2016,178
171368631,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,SHER,2,2016,M,GPS,HY,12/3/2016,168
171368632,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,SHER,2,2016,M,GPS,HY,12/3/2016,178
171368633,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,SHER,2,2016,F,GPS,HY,12/3/2016,204
171368634,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,SHER,2,2016,F,GPS,AHY,12/3/2016,190
171368635,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,SHER,2,2016,F,GPS,AHY,12/3/2016,210
171368636,0,0,0,0,10,10,0,10,0,10,0,0,0,0,0,SHER,2,2016,M,VHF,HY,12/6/2016,145
171368637,0,0,0,0,10,11,0,0,0,0,0,0,0,0,0,SHER,2,2016,F,VHF,HY,12/6/2016,180
171368638,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,SHER,2,2016,F,VHF,AHY,12/6/2016,196
171368639,0,0,0,0,10,10,10,11,0,0,0,0,0,0,0,SHER,2,2016,M,VHF,HY,12/6/2016,148
171368640,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,SHER,2,2016,F,VHF,HY,12/6/2016,172
171368641,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,SHER,2,2016,F,VHF,AHY,12/6/2016,192
171368642,0,0,0,0,10,10,11,0,0,0,0,0,0,0,0,SHER,2,2016,F,VHF,AHY,12/6/2016,166
171368643,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,SHER,2,2016,F,VHF,HY,12/6/2016,190
171368645,0,0,0,0,10,10,11,0,0,0,0,0,0,0,0,SHER,2,2016,F,VHF,HY,12/6/2016,178
171368646,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,SHER,2,2016,M,VHF,HY,12/6/2016,160
171368647,0,0,0,0,10,10,10,10,10,0,0,0,0,0,0,BOYC,2,2016,F,GPS,HY,12/8/2016,205
171368648,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,BOYC,2,2016,F,GPS,HY,12/8/2016,190
171368652,0,0,0,0,0,10,0,10,10,10,0,0,0,0,0,TENS,2,2016,M,GPS,AHY,12/13/2016,154
171368653,0,0,0,0,0,10,0,10,0,10,0,0,0,0,0,TENS,2,2016,F,GPS,AHY,12/13/2016,196
171368654,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,TENS,2,2016,M,GPS,HY,12/13/2016,144
171368655,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,TENS,2,2016,M,GPS,AHY,12/13/2016,122
171368656,0,0,0,0,0,10,0,10,10,10,0,0,0,0,0,TENS,2,2016,M,GPS,AHY,12/13/2016,164
171368657,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,TENS,2,2016,M,GPS,AHY,12/13/2016,156
171368658,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,TENS,2,2016,M,GPS,AHY,12/13/2016,172
171368659,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,TENS,2,2016,M,GPS,AHY,12/13/2016,158
171368660,0,0,0,0,0,10,0,10,0,11,0,0,0,0,0,TENS,2,2016,M,GPS,AHY,12/13/2016,151
171368661,0,0,0,0,0,10,10,10,0,10,0,0,0,0,0,TENS,2,2016,M,GPS,AHY,12/13/2016,153
171368662,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,TENS,2,2016,F,VHF,AHY,12/13/2016,192
171368663,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,TENS,2,2016,M,VHF,HY,12/13/2016,162
171368664,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,TENS,2,2016,M,VHF,HY,12/13/2016,152
171368666,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,TENS,2,2016,F,GPS,AHY,12/14/2016,208
171368681,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,PALM,2,2017,M,VHF,AHY,1/5/2017,150
171368682,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,PALM,2,2017,M,VHF,AHY,1/5/2017,144
171368683,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,PALM,2,2017,F,VHF,AHY,1/5/2017,190
171368684,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,PALM,2,2017,F,VHF,AHY,1/5/2017,202
171368685,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,PALM,2,2017,M,VHF,AHY,1/5/2017,164
171368686,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,DERI,2,2017,M,GPS,AHY,1/14/2017,158
171368687,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,DERI,2,2017,M,GPS,AHY,1/14/2017,146
171368688,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,DERI,2,2017,F,GPS,AHY,1/14/2017,154
171368690,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,SHER,2,2017,M,GPS,AHY,1/24/2017,164
171368691,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,SHER,2,2017,F,GPS,HY,1/24/2017,200
171368692,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,SHER,2,2017,F,GPS,AHY,1/24/2017,188
171368694,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,SHER,2,2017,M,GPS,HY,1/24/2017,158
171368695,0,0,0,0,0,0,10,11,0,0,0,0,0,0,0,SHER,2,2017,F,GPS,AHY,1/25/2017,
171368696,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,SHER,2,2017,F,GPS,HY,1/25/2017,186
171368697,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,SHER,2,2017,F,GPS,AHY,1/25/2017,178
171368698,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,SHER,2,2017,M,GPS,HY,1/25/2017,138
171368699,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,SHER,2,2017,F,GPS,AHY,1/24/2017,180
171383416,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,YANC,2,2017,F,GPS,AHY,1/19/2017,210
171383417,0,0,0,0,0,0,0,0,0,0,10,0,10,10,0,YANC,2,2017,M,GPS,HY,1/19/2017,164
171383418,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,YANC,2,2017,F,GPS,AHY,1/19/2017,216
171383425,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,SHER,2,2017,F,GPS,HY,1/25/2017,178
171383427,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,SHER,2,2017,F,VHF,AHY,1/25/2017,180
171383428,0,0,0,0,0,0,0,0,0,0,0,10,0,10,10,SHER,2,2017,F,VHF,AHY,1/25/2017,178
171383429,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,SHER,2,2017,M,VHF,AHY,1/25/2017,174
171383430,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,YANC,2,2017,M,GPS,HY,1/26/2017,156
171383431,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,YANC,2,2017,M,GPS,AHY,1/26/2017,166
171383432,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,YANC,2,2017,M,GPS,AHY,1/26/2017,164
171383433,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,YANC,2,2017,F,GPS,HY,1/26/2017,176
171383434,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,YANC,2,2017,F,GPS,AHY,1/26/2017,198
171383435,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,YANC,2,2017,M,GPS,HY,1/26/2017,146
171383436,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,DERI,2,2017,M,GPS,HY,1/27/2017,154
171383437,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,DERI,2,2017,M,GPS,AHY,1/27/2017,162
171383439,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,SHER,2,2017,M,VHF,HY,1/28/2017,152
171383440,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,SHER,2,2017,F,VHF,AHY,1/28/2017,174
171383441,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,SHER,2,2017,F,VHF,AHY,1/28/2017,196
