BandNmbr,GMT Time,Latitude,Longitude,Duration,DOP,Satellites
171368616,1/28/2016 5:56,30.8200499,-93.3794799,45,2.2,6
171368616,1/28/2016 7:00,30.8201973,-93.3792988,8,2.4,4
171368616,1/28/2016 8:00,30.8200339,-93.3794443,38,1.6,5
171368616,1/28/2016 9:00,30.8198317,-93.3794915,8,3.6,5
171368616,1/28/2016 10:00,30.8204676,-93.3798133,9,2.2,4
171368616,1/28/2016 11:00,30.8200851,-93.3793652,45,1,7
171368616,1/28/2016 12:00,30.8200121,-93.3793805,9,1.2,7
171368616,1/28/2016 13:00,30.8194415,-93.3821525,9,1.6,6
171368616,1/28/2016 14:00,30.8194197,-93.3821943,39,2,5
171368616,1/28/2016 15:00,30.8196042,-93.3824128,4,2.4,5
171368616,1/28/2016 16:00,30.8194835,-93.3821936,20,2,5
171368616,1/28/2016 17:00,30.8194984,-93.3822942,47,1.8,6
171368616,1/28/2016 18:00,30.819487,-93.3820653,4,2.2,5
171368616,1/28/2016 19:00,30.818743,-93.3825997,7,4.4,4
171368616,1/28/2016 20:00,30.8196242,-93.3825871,52,5.4,3
171368616,1/28/2016 21:00,30.8195639,-93.3820703,36,1.4,5
171368616,1/28/2016 22:00,30.8194466,-93.3820672,15,1.4,5
171368616,1/28/2016 23:01,30.8194287,-93.3819831,67,1.8,4
171368616,1/29/2016 0:00,30.8195648,-93.382198,36,3,3
171368616,1/29/2016 1:00,30.8194258,-93.3819126,39,2,6
171368616,1/29/2016 2:00,30.8193817,-93.3819807,38,1.2,6
171368616,1/29/2016 3:00,30.8193078,-93.382123,8,1.6,6
171368616,1/29/2016 4:00,30.8192822,-93.3820315,9,2.6,4
171368616,1/29/2016 5:00,30.8193309,-93.3819523,40,1.4,5
171368616,1/29/2016 6:00,30.8194379,-93.3821232,38,6,5
171368616,1/29/2016 7:00,30.819375,-93.3819015,9,2.2,5
171368616,1/29/2016 8:00,30.8193762,-93.3820911,39,3.2,5
171368616,1/29/2016 9:00,30.8191347,-93.3818106,7,4,5
171368616,1/29/2016 10:00,30.8194836,-93.3818868,10,2.6,4
171368616,1/29/2016 11:00,30.8193578,-93.3820365,45,2,5
171368616,1/29/2016 12:00,30.8194239,-93.3820304,15,2,4
171368616,1/29/2016 13:00,30.8196637,-93.3825067,9,2.4,5
171368616,1/29/2016 14:01,0,0,70,0,0
171368616,1/29/2016 15:01,0,0,70,0,0
171368616,1/29/2016 16:00,30.8196496,-93.3822391,50,4.4,4
171368616,1/29/2016 17:00,30.8193252,-93.3823494,17,1.4,4
171368616,1/29/2016 18:00,30.8192488,-93.3824856,46,1.6,4
171368616,1/29/2016 19:00,30.8192929,-93.3822901,51,2.2,4
171368616,1/29/2016 20:00,30.8194901,-93.3828806,16,2.8,4
171368616,1/29/2016 21:00,30.819391,-93.3822482,9,3.4,4
171368616,1/29/2016 22:00,30.819491,-93.3822273,52,2.4,4
171368616,1/29/2016 23:00,30.8189176,-93.3820683,12,2,4
171368616,1/30/2016 0:00,30.8194521,-93.3827121,38,2,4
171368616,1/30/2016 1:00,30.8199594,-93.3819163,40,2.2,4
171368616,1/30/2016 2:00,30.8199568,-93.3818586,17,2.8,4
171368616,1/30/2016 3:00,30.8195441,-93.3811262,6,4.4,4
171368616,1/30/2016 4:00,30.8200346,-93.3818857,41,1.6,6
171368616,1/30/2016 5:00,30.8201119,-93.3818598,4,1.8,6
171368616,1/30/2016 6:00,30.8200938,-93.381718,6,2,6
171368616,1/30/2016 7:00,30.8200755,-93.3818513,41,1.6,4
171368616,1/30/2016 8:00,30.8200013,-93.3818709,8,1.4,4
171368616,1/30/2016 9:00,30.8210327,-93.3820836,21,2.4,4
171368616,1/30/2016 10:01,0,0,70,0,0
171368616,1/30/2016 11:00,30.8201331,-93.3820531,44,2,5
171368616,1/30/2016 12:00,30.8201399,-93.3819311,8,3.4,5
171368616,1/30/2016 13:00,30.819365,-93.382069,10,2.6,4
171368616,1/30/2016 14:00,30.8197219,-93.3824024,54,4.2,3
171368616,1/30/2016 15:01,30.8193579,-93.3822287,69,1.2,4
171368616,1/30/2016 16:00,30.8195152,-93.3820598,17,2.2,6
171368616,1/30/2016 17:00,30.8191529,-93.382217,45,1.2,6
171368616,1/30/2016 18:00,30.8194582,-93.3823753,4,1.6,5
171368616,1/30/2016 19:00,30.8193425,-93.3822605,38,2,5
171368616,1/30/2016 20:01,30.8190149,-93.3821574,70,6,3
171368616,1/30/2016 21:00,30.8193698,-93.3817728,45,13.2,4
171368616,1/30/2016 22:00,30.8190236,-93.3821172,41,2.6,4
171368616,1/30/2016 23:00,30.8190293,-93.3811619,7,4.4,4
171368616,1/31/2016 0:01,0,0,70,0,0
171368616,1/31/2016 1:00,30.821072,-93.3816519,45,2.4,6
171368616,1/31/2016 2:00,30.8209951,-93.3814415,8,1.6,6
171368616,1/31/2016 3:00,30.8207488,-93.3808148,9,8.4,4
171368616,1/31/2016 4:00,30.8210894,-93.3815181,38,2.6,5
171368616,1/31/2016 5:00,30.8204354,-93.3813655,11,6.2,4
171368616,1/31/2016 6:00,30.8213153,-93.3816281,32,28,4
