BandNmbr,Date_utilized,SamplePos,Lattitude,Longitude,Basal_Area,Canopy,Litter,Herbac,Shrub,Tree,Bare_ground,Other,Density,Comments,Date_collected,image
171368602,1/13/2016,BUF,30.83091504960,-93.36922827410,1.000,20.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,,3/31/2016,20160331_69.jpg
171368602,1/13/2016,BUF,30.83090840840,-93.36911495960,0.000,37.000,100.000,0.000,0.000,0.000,0.000,0.000,8.000,,3/31/2016,20160331_70.jpg
171368602,1/13/2016,BUF,30.83091165170,-93.36903671850,3.000,37.000,100.000,0.000,0.000,0.000,0.000,0.000,18.000,,3/31/2016,20160331_71.jpg
171368602,1/13/2016,BUF,30.83100663630,-93.36889498540,0.000,37.000,100.000,0.000,0.000,0.000,0.000,0.000,40.000,,3/31/2016,20160331_86.jpg
171368602,1/13/2016,BUF,30.83100663630,-93.36899840740,1.000,11.000,100.000,0.000,0.000,0.000,0.000,0.000,32.000,,3/31/2016,20160331_87.jpg
171368602,1/13/2016,BUF,30.83099829620,-93.36911172200,2.000,32.000,100.000,0.000,0.000,0.000,0.000,0.000,40.000,,3/31/2016,20160331_88.jpg
171368602,1/13/2016,BUF,30.83100493740,-93.36924158410,1.000,37.000,100.000,0.000,0.000,0.000,0.000,0.000,30.000,,3/31/2016,20160331_89.jpg
171368602,1/13/2016,BUF,30.83101497650,-93.36934500610,3.000,31.000,100.000,0.000,0.000,0.000,0.000,0.000,18.000,,3/31/2016,20160331_90.jpg
171368602,1/13/2016,BUF,30.83100833530,-93.36943493830,4.000,30.000,100.000,0.000,0.000,0.000,0.000,0.000,13.000,,3/31/2016,20160331_91.jpg
171368602,1/13/2016,BUF,30.83109003740,-93.36933007740,8.000,34.000,100.000,0.000,0.000,0.000,0.000,0.000,10.000,,4/5/2016,Set Image
171368602,1/13/2016,BUF,30.83110501870,-93.36903330110,4.000,26.000,100.000,0.000,0.000,0.000,0.000,0.000,40.000,,4/5/2016,Set Image
171368602,1/13/2016,BUF,30.83111660220,-93.36890667660,4.000,37.000,100.000,0.000,0.000,0.000,0.000,0.000,40.000,,4/5/2016,Set Image
171368602,1/13/2016,BUF,30.83118672070,-93.36901495490,4.000,27.000,100.000,0.000,0.000,0.000,0.000,0.000,40.000,,4/5/2016,20160405_2.jpg
171368602,1/13/2016,BUF,30.83118672070,-93.36912503200,2.000,21.000,100.000,0.000,0.000,0.000,0.000,0.000,40.000,,4/5/2016,Set Image
171368602,1/13/2016,BUF,30.83118332290,-93.36921838160,1.000,14.000,100.000,0.000,0.000,0.000,0.000,0.000,39.000,,4/5/2016,20160405_3.jpg
171368602,1/13/2016,BUF,30.83120494540,-93.36932827870,5.000,35.000,100.000,0.000,0.000,0.000,0.000,0.000,10.000,,4/5/2016,20160405_4.jpg
171368602,1/13/2016,BUF,30.83128834630,-93.36923996530,6.000,31.000,100.000,0.000,0.000,0.000,0.000,0.000,0.000,,4/5/2016,20160405_5.jpg
