BandNmbr,Date_utilized,SamplePos,Lattitude,Longitude,Basal_Area,Canopy,Litter,Herbac,Shrub,Tree,Bare_ground,Other,Density,Comments,Date_collected,image
171368606,1/9/2016,MCP,30.82826996,-93.36821672,3,30,0,0,0,0,0,0,20,,3/14/2016,20160314_13.jpg
171368606,1/9/2016,MCP,30.82826996,-93.36809675,3,29,100,0,0,0,0,0,32,,3/14/2016,20160314_14.jpg
171368606,1/9/2016,MCP,30.8283634,-93.36809171,6,29,100,0,0,0,0,0,12,,3/14/2016,20160314_18.jpg
171368606,1/9/2016,MCP,30.82834827,-93.3682133,7,22,100,0,0,0,0,0,0,,3/14/2016,20160314_19.jpg
171368606,1/9/2016,MCP,30.82844495,-93.36831169,3,27,100,0,0,0,0,0,6,,3/14/2016,20160314_23.jpg
171368606,1/9/2016,MCP,30.82844171,-93.36821672,4,37,100,0,0,0,0,0,40,,3/14/2016,20160314_24.jpg
171368606,1/9/2016,MCP,30.82844171,-93.36811168,4,37,100,0,0,0,0,0,38,,3/14/2016,20160314_25.jpg
171368606,1/9/2016,MCP,30.82844495,-93.36799009,3,25,100,0,0,0,0,0,40,,3/14/2016,20160314_26.jpg
171368606,1/9/2016,MCP,30.82852666,-93.36799171,3,21,100,0,0,0,0,0,9,,3/14/2016,20160314_30.jpg
171368606,1/9/2016,MCP,30.82852836,-93.36810502,2,29,100,0,0,0,0,0,0,,3/14/2016,20160314_31.jpg
171368606,1/9/2016,MCP,30.82853006,-93.36821006,3,31,100,0,0,0,0,0,17,,3/14/2016,20160314_32.jpg
171368606,1/9/2016,MCP,30.82862334,-93.36810502,2,25,100,0,0,0,0,0,36,,3/14/2016,Set Image
