"","BandNmbr","Date_utilized","SamplePos","Lattitude","Longitude","Basal_Area","Canopy","Litter","Herbac","Shrub","Tree","Bare_ground","Other","Density","Comments","Date_collected","image","MCP_ID"
"1",171368602,"1/10/2016","MCP",30.830816667,-93.3688149457,2,31,100,0,0,0,0,0,1,NA,"3/31/2016","20160331_59.jpg","171368602_Jan10_2016_MCP"
"2",171368602,"1/10/2016","MCP",30.830916594,-93.3688984028,2,24,100,0,0,0,0,0,6,NA,"3/31/2016","20160331_72.jpg","171368602_Jan10_2016_MCP"
"3",171368602,"1/10/2016","MCP",30.8309182929,-93.3687949808,2,27,100,0,0,0,0,0,39,NA,"3/31/2016","20160331_73.jpg","171368602_Jan10_2016_MCP"
"4",171368602,"1/10/2016","MCP",30.8309349732,-93.3687000124,2,29,100,0,0,0,0,0,39,NA,"3/31/2016","20160331_74.jpg","171368602_Jan10_2016_MCP"
"5",171368602,"1/10/2016","MCP",30.8310267144,-93.368598389,3,33,100,0,0,0,0,0,25,NA,"3/31/2016","20160331_83.jpg","171368602_Jan10_2016_MCP"
"6",171368602,"1/10/2016","MCP",30.8310049374,-93.36868994,1,17,100,0,0,0,0,0,7,NA,"3/31/2016","20160331_84.jpg","171368602_Jan10_2016_MCP"
"7",171368602,"1/10/2016","MCP",30.8310250155,-93.3688016358,1,13,100,0,0,0,0,0,38,NA,"3/31/2016","20160331_85.jpg","171368602_Jan10_2016_MCP"
"8",171368602,"1/10/2016","MCP",30.8310066363,-93.3688949854,0,37,100,0,0,0,0,0,40,NA,"3/31/2016","20160331_86.jpg","171368602_Jan10_2016_MCP"
"9",171368602,"1/10/2016","MCP",30.8310066363,-93.3689984074,1,11,100,0,0,0,0,0,32,NA,"3/31/2016","20160331_87.jpg","171368602_Jan10_2016_MCP"
"10",171368602,"1/10/2016","MCP",30.8311050187,-93.3690333011,4,26,100,0,0,0,0,0,40,NA,"4/5/2016","Set Image","171368602_Jan10_2016_MCP"
"11",171368602,"1/10/2016","MCP",30.8311166022,-93.3689066766,4,37,100,0,0,0,0,0,40,NA,"4/5/2016","Set Image","171368602_Jan10_2016_MCP"
