"","BandNmbr","Date_utilized","SamplePos","Lattitude","Longitude","Basal_Area","Canopy","Litter","Herbac","Shrub","Tree","Bare_ground","Other","Density","Comments","Date_collected","image","MCP_ID"
"1",171368602,"1/16/2016","BUF",30.83081667,-93.36881495,2,31,100,0,0,0,0,0,1,NA,"3/31/2016","20160331_59.jpg","171368602_Jan16_BUF"
"2",171368602,"1/16/2016","BUF",30.83081667,-93.36890002,1,29,100,0,0,0,0,0,17,NA,"3/31/2016","20160331_60.jpg","171368602_Jan16_BUF"
"3",171368602,"1/16/2016","BUF",30.83091505,-93.36922827,1,20,100,0,0,0,0,0,0,NA,"3/31/2016","20160331_69.jpg","171368602_Jan16_BUF"
"4",171368602,"1/16/2016","BUF",30.83090841,-93.36911496,0,37,100,0,0,0,0,0,8,NA,"3/31/2016","20160331_70.jpg","171368602_Jan16_BUF"
"5",171368602,"1/16/2016","BUF",30.83091165,-93.36903672,3,37,100,0,0,0,0,0,18,NA,"3/31/2016","20160331_71.jpg","171368602_Jan16_BUF"
"6",171368602,"1/16/2016","BUF",30.83091659,-93.3688984,2,24,100,0,0,0,0,0,6,NA,"3/31/2016","20160331_72.jpg","171368602_Jan16_BUF"
"7",171368602,"1/16/2016","BUF",30.83091829,-93.36879498,2,27,100,0,0,0,0,0,39,NA,"3/31/2016","20160331_73.jpg","171368602_Jan16_BUF"
"8",171368602,"1/16/2016","BUF",30.83093497,-93.36870001,2,29,100,0,0,0,0,0,39,NA,"3/31/2016","20160331_74.jpg","171368602_Jan16_BUF"
"9",171368602,"1/16/2016","BUF",30.83102671,-93.36859839,3,33,100,0,0,0,0,0,25,NA,"3/31/2016","20160331_83.jpg","171368602_Jan16_BUF"
"10",171368602,"1/16/2016","BUF",30.83100494,-93.36868994,1,17,100,0,0,0,0,0,7,NA,"3/31/2016","20160331_84.jpg","171368602_Jan16_BUF"
"11",171368602,"1/16/2016","BUF",30.83102502,-93.36880164,1,13,100,0,0,0,0,0,38,NA,"3/31/2016","20160331_85.jpg","171368602_Jan16_BUF"
"12",171368602,"1/16/2016","BUF",30.8309983,-93.36911172,2,32,100,0,0,0,0,0,40,NA,"3/31/2016","20160331_88.jpg","171368602_Jan16_BUF"
"13",171368602,"1/16/2016","BUF",30.83100494,-93.36924158,1,37,100,0,0,0,0,0,30,NA,"3/31/2016","20160331_89.jpg","171368602_Jan16_BUF"
"14",171368602,"1/16/2016","BUF",30.83109174,-93.36922162,5,33,100,0,0,0,0,0,40,NA,"4/5/2016","20160405.jpg","171368602_Jan16_BUF"
"15",171368602,"1/16/2016","BUF",30.83110996,-93.36912665,4,23,100,0,0,0,0,0,0,NA,"4/5/2016","Set Image","171368602_Jan16_BUF"
"16",171368602,"1/16/2016","BUF",30.83110502,-93.3690333,4,26,100,0,0,0,0,0,40,NA,"4/5/2016","Set Image","171368602_Jan16_BUF"
"17",171368602,"1/16/2016","BUF",30.8311166,-93.36890668,4,37,100,0,0,0,0,0,40,NA,"4/5/2016","Set Image","171368602_Jan16_BUF"
"18",171368602,"1/16/2016","BUF",30.83118672,-93.36901495,4,27,100,0,0,0,0,0,40,NA,"4/5/2016","20160405_2.jpg","171368602_Jan16_BUF"
"19",171368602,"1/16/2016","BUF",30.83118672,-93.36912503,2,21,100,0,0,0,0,0,40,NA,"4/5/2016","Set Image","171368602_Jan16_BUF"
"20",171368602,"1/16/2016","BUF",30.83138673,-93.36866836,6,32,100,0,0,0,0,0,0,NA,"4/5/2016","20160405_10.jpg","171368602_Jan16_BUF"
"21",171368602,"1/16/2016","BUF",30.83129499,-93.36867663,4,16,100,0,0,0,0,0,3,NA,"4/5/2016","20160405_12.jpg","171368602_Jan16_BUF"
"22",171368602,"1/16/2016","BUF",30.83129174,-93.36856332,4,32,100,0,0,0,0,0,7,NA,"4/5/2016","20160405_13.jpg","171368602_Jan16_BUF"
"23",171368602,"1/16/2016","BUF",30.83121838,-93.36856008,5,28,100,0,0,0,0,0,5,NA,"4/5/2016","20160405_14.jpg","171368602_Jan16_BUF"
"24",171368602,"1/16/2016","BUF",30.8311217,-93.36854497,4,28,100,0,0,0,0,0,26,NA,"4/5/2016","20160405_15.jpg","171368602_Jan16_BUF"
