"","BandNmbr","Date_utilized","SamplePos","Lattitude","Longitude","Basal_Area","Canopy","Litter","Herbac","Shrub","Tree","Bare_ground","Other","Density","Comments","Date_collected","image","MCP_ID"
"1",171368602,"1/17/2016","MCP",30.83051673,-93.37007328,0,16,100,0,0,0,0,0,0,NA,"3/22/2016","20160322_17.jpg","171368602_Jan17_MCP"
"2",171368602,"1/17/2016","MCP",30.83041495,-93.37006662,1,22,100,0,0,0,0,0,2,NA,"3/22/2016","20160322_18.jpg","171368602_Jan17_MCP"
"3",171368602,"1/17/2016","MCP",30.83032166,-93.37007166,2,37,100,0,0,0,0,0,19,NA,"3/22/2016","20160322_19.jpg","171368602_Jan17_MCP"
"4",171368602,"1/17/2016","MCP",30.83015007,-93.370065,4,26,100,0,0,0,0,0,16,NA,"3/22/2016","20160322_22.jpg","171368602_Jan17_MCP"
"5",171368602,"1/17/2016","MCP",30.83023502,-93.36995996,0,6,0,10,0,0,90,0,0,NA,"3/23/2016","Set Image","171368602_Jan17_MCP"
"6",171368602,"1/17/2016","MCP",30.82988164,-93.36999665,2,22,100,0,0,0,0,0,40,NA,"3/23/2016","20160323_10.jpg","171368602_Jan17_MCP"
"7",171368602,"1/17/2016","MCP",30.82996674,-93.36996158,2,37,100,0,0,0,0,0,32,NA,"3/23/2016","20160323_11.jpg","171368602_Jan17_MCP"
"8",171368602,"1/17/2016","MCP",30.83005833,-93.36997003,3,34,100,0,0,0,0,0,28,NA,"3/23/2016","20160323_12.jpg","171368602_Jan17_MCP"
"9",171368602,"1/17/2016","MCP",30.83014498,-93.36998838,2,30,100,0,0,0,0,0,12,NA,"3/23/2016","20160323_13.jpg","171368602_Jan17_MCP"
"10",171368602,"1/17/2016","MCP",30.83032336,-93.36998658,1,37,100,0,0,0,0,0,1,NA,"3/23/2016","20160323_14.jpg","171368602_Jan17_MCP"
"11",171368602,"1/17/2016","MCP",30.83043827,-93.36998496,4,32,100,0,0,0,0,0,29,NA,"3/23/2016","20160323_15.jpg","171368602_Jan17_MCP"
"12",171368602,"1/17/2016","MCP",30.83052507,-93.36998496,4,28,100,0,0,0,0,0,40,NA,"3/23/2016","20160323_16.jpg","171368602_Jan17_MCP"
