"","BandNmbr","Date_utilized","SamplePos","Lattitude","Longitude","Basal_Area","Canopy","Litter","Herbac","Shrub","Tree","Bare_ground","Other","Density","Comments","Date_collected","image","MCP_ID"
"1",171368602,"1/21/2016","BUF",30.83072832,-93.36933331,3,32,100,0,0,0,0,0,10,NA,"3/31/2016","20160331_37.jpg","171368602_Jan21_2016_buffer"
"2",171368602,"1/21/2016","BUF",30.83072662,-93.36922666,3,34,100,0,0,0,0,0,2,NA,"3/31/2016","20160331_38.jpg","171368602_Jan21_2016_buffer"
"3",171368602,"1/21/2016","BUF",30.83081837,-93.36900003,2,34,100,0,0,0,0,0,2,NA,"3/31/2016","20160331_61.jpg","171368602_Jan21_2016_buffer"
"4",171368602,"1/21/2016","BUF",30.83082006,-93.3691083,3,32,100,0,0,0,0,0,7,NA,"3/31/2016","20160331_62.jpg","171368602_Jan21_2016_buffer"
"5",171368602,"1/21/2016","BUF",30.83081497,-93.36921335,2,34,100,0,0,0,0,0,39,NA,"3/31/2016","20160331_63.jpg","171368602_Jan21_2016_buffer"
"6",171368602,"1/21/2016","BUF",30.83091999,-93.36953674,4,36,100,0,0,0,0,0,2,NA,"3/31/2016","20160331_66.jpg","171368602_Jan21_2016_buffer"
"7",171368602,"1/21/2016","BUF",30.83090841,-93.36911496,0,37,100,0,0,0,0,0,8,NA,"3/31/2016","20160331_70.jpg","171368602_Jan21_2016_buffer"
"8",171368602,"1/21/2016","BUF",30.83091165,-93.36903672,3,37,100,0,0,0,0,0,18,NA,"3/31/2016","20160331_71.jpg","171368602_Jan21_2016_buffer"
"9",171368602,"1/21/2016","BUF",30.83091659,-93.3688984,2,24,100,0,0,0,0,0,6,NA,"3/31/2016","20160331_72.jpg","171368602_Jan21_2016_buffer"
"10",171368602,"1/21/2016","BUF",30.83102502,-93.36880164,1,13,100,0,0,0,0,0,38,NA,"3/31/2016","20160331_85.jpg","171368602_Jan21_2016_buffer"
"11",171368602,"1/21/2016","BUF",30.83100664,-93.36889499,0,37,100,0,0,0,0,0,40,NA,"3/31/2016","20160331_86.jpg","171368602_Jan21_2016_buffer"
"12",171368602,"1/21/2016","BUF",30.83100664,-93.36899841,1,11,100,0,0,0,0,0,32,NA,"3/31/2016","20160331_87.jpg","171368602_Jan21_2016_buffer"
"13",171368602,"1/21/2016","BUF",30.83101498,-93.36934501,3,31,100,0,0,0,0,0,18,NA,"3/31/2016","20160331_90.jpg","171368602_Jan21_2016_buffer"
"14",171368602,"1/21/2016","BUF",30.83100834,-93.36943494,4,30,100,0,0,0,0,0,13,NA,"3/31/2016","20160331_91.jpg","171368602_Jan21_2016_buffer"
"15",171368602,"1/21/2016","BUF",30.83101668,-93.36953171,4,35,100,0,0,0,0,0,4,NA,"3/31/2016","20160331_92.jpg","171368602_Jan21_2016_buffer"
"16",171368602,"1/21/2016","BUF",30.8307067,-93.36956174,2,27,45,10,0,0,45,0,0,NA,"3/22/2016","20160322_4.jpg","171368602_Jan21_2016_buffer"
"17",171368602,"1/21/2016","BUF",30.83061836,-93.36945328,3,26,100,0,0,0,0,0,7,NA,"3/22/2016","20160322_37.jpg","171368602_Jan21_2016_buffer"
"18",171368602,"1/21/2016","BUF",30.83059334,-93.36934662,1,14,100,0,0,0,0,0,0,NA,"3/22/2016","20160322_38.jpg","171368602_Jan21_2016_buffer"
"19",171368602,"1/21/2016","BUF",30.83109004,-93.36933008,8,34,100,0,0,0,0,0,10,NA,"4/5/2016","Set Image","171368602_Jan21_2016_buffer"
"20",171368602,"1/21/2016","BUF",30.83109174,-93.36922162,5,33,100,0,0,0,0,0,40,NA,"4/5/2016","20160405.jpg","171368602_Jan21_2016_buffer"
"21",171368602,"1/21/2016","BUF",30.83110996,-93.36912665,4,23,100,0,0,0,0,0,0,NA,"4/5/2016","Set Image","171368602_Jan21_2016_buffer"
"22",171368602,"1/21/2016","BUF",30.83110502,-93.3690333,4,26,100,0,0,0,0,0,40,NA,"4/5/2016","Set Image","171368602_Jan21_2016_buffer"
"23",171368602,"1/21/2016","BUF",30.8311166,-93.36890668,4,37,100,0,0,0,0,0,40,NA,"4/5/2016","Set Image","171368602_Jan21_2016_buffer"
"24",171368602,"1/21/2016","BUF",30.83118672,-93.36901495,4,27,100,0,0,0,0,0,40,NA,"4/5/2016","20160405_2.jpg","171368602_Jan21_2016_buffer"
"25",171368602,"1/21/2016","BUF",30.83118672,-93.36912503,2,21,100,0,0,0,0,0,40,NA,"4/5/2016","Set Image","171368602_Jan21_2016_buffer"
"26",171368602,"1/21/2016","BUF",30.83118332,-93.36921838,1,14,100,0,0,0,0,0,39,NA,"4/5/2016","20160405_3.jpg","171368602_Jan21_2016_buffer"
